,Abs_Total,Not Hispanic or Latino,Hispanic or Latino,Geography,NAME,state,State
1,65878,64732,1146,0500000US17001,Adams County,17|001,Illinois
2,5488,5426,62,0500000US17003,Alexander County,17|003,Illinois
3,16804,16174,630,0500000US17005,Bond County,17|005,Illinois
4,53592,41369,12223,0500000US17007,Boone County,17|007,Illinois
5,6330,5894,436,0500000US17009,Brown County,17|009,Illinois
6,33338,30156,3182,0500000US17011,Bureau County,17|011,Illinois
7,4537,4504,33,0500000US17013,Calhoun County,17|013,Illinois
8,15586,14960,626,0500000US17015,Carroll County,17|015,Illinois
9,13058,10483,2575,0500000US17017,Cass County,17|017,Illinois
10,206583,193642,12941,0500000US17019,Champaign County,17|019,Illinois
11,34038,33473,565,0500000US17021,Christian County,17|021,Illinois
12,15587,15331,256,0500000US17023,Clark County,17|023,Illinois
13,13313,13289,24,0500000US17025,Clay County,17|025,Illinois
14,37048,35857,1191,0500000US17027,Clinton County,17|027,Illinois
15,47542,46198,1344,0500000US17029,Coles County,17|029,Illinois
16,5265398,3918449,1346949,0500000US17031,Cook County,17|031,Illinois
17,18825,18378,447,0500000US17033,Crawford County,17|033,Illinois
18,10528,10413,115,0500000US17035,Cumberland County,17|035,Illinois
19,100922,89013,11909,0500000US17037,DeKalb County,17|037,Illinois
20,15653,15188,465,0500000US17039,De Witt County,17|039,Illinois
21,19708,18242,1466,0500000US17041,Douglas County,17|041,Illinois
22,934094,798185,135909,0500000US17043,DuPage County,17|043,Illinois
23,16998,16779,219,0500000US17045,Edgar County,17|045,Illinois
24,6233,6150,83,0500000US17047,Edwards County,17|047,Illinois
25,34576,33816,760,0500000US17049,Effingham County,17|049,Illinois
26,21514,21106,408,0500000US17051,Fayette County,17|051,Illinois
27,13589,13069,520,0500000US17053,Ford County,17|053,Illinois
28,38068,37365,703,0500000US17055,Franklin County,17|055,Illinois
29,34022,32954,1068,0500000US17057,Fulton County,17|057,Illinois
30,5038,4962,76,0500000US17059,Gallatin County,17|059,Illinois
31,12187,12032,155,0500000US17061,Greene County,17|061,Illinois
32,52364,46858,5506,0500000US17063,Grundy County,17|063,Illinois
33,8021,7883,138,0500000US17065,Hamilton County,17|065,Illinois
34,17750,17456,294,0500000US17067,Hancock County,17|067,Illinois
35,3700,3643,57,0500000US17069,Hardin County,17|069,Illinois
36,6485,6364,121,0500000US17071,Henderson County,17|071,Illinois
37,49412,46424,2988,0500000US17073,Henry County,17|073,Illinois
38,27362,25370,1992,0500000US17075,Iroquois County,17|075,Illinois
39,53676,51224,2452,0500000US17077,Jackson County,17|077,Illinois
40,9324,9261,63,0500000US17079,Jasper County,17|079,Illinois
41,37362,36273,1089,0500000US17081,Jefferson County,17|081,Illinois
42,21533,21224,309,0500000US17083,Jersey County,17|083,Illinois
43,21995,21291,704,0500000US17085,Jo Daviess County,17|085,Illinois
44,13238,12829,409,0500000US17087,Johnson County,17|087,Illinois
45,518648,351537,167111,0500000US17089,Kane County,17|089,Illinois
46,108104,96261,11843,0500000US17091,Kankakee County,17|091,Illinois
47,130757,104410,26347,0500000US17093,Kendall County,17|093,Illinois
48,50193,47123,3070,0500000US17095,Knox County,17|095,Illinois
49,714484,554844,159640,0500000US17097,Lake County,17|097,Illinois
50,109986,98843,11143,0500000US17099,LaSalle County,17|099,Illinois
51,15465,15009,456,0500000US17101,Lawrence County,17|101,Illinois
52,34373,32090,2283,0500000US17103,Lee County,17|103,Illinois
53,35902,34117,1785,0500000US17105,Livingston County,17|105,Illinois
54,28238,27241,997,0500000US17107,Logan County,17|107,Illinois
55,27743,26924,819,0500000US17109,McDonough County,17|109,Illinois
56,310749,267768,42981,0500000US17111,McHenry County,17|111,Illinois
57,171455,162603,8852,0500000US17113,McLean County,17|113,Illinois
58,104331,101799,2532,0500000US17115,Macon County,17|115,Illinois
59,45152,44572,580,0500000US17117,Macoupin County,17|117,Illinois
60,266112,256879,9233,0500000US17119,Madison County,17|119,Illinois
61,37781,36948,833,0500000US17121,Marion County,17|121,Illinois
62,11781,11427,354,0500000US17123,Marshall County,17|123,Illinois
63,13225,13055,170,0500000US17125,Mason County,17|125,Illinois
64,14280,13827,453,0500000US17127,Massac County,17|127,Illinois
65,12343,12142,201,0500000US17129,Menard County,17|129,Illinois
66,15779,15356,423,0500000US17131,Mercer County,17|131,Illinois
67,34732,34171,561,0500000US17133,Monroe County,17|133,Illinois
68,28482,27964,518,0500000US17135,Montgomery County,17|135,Illinois
69,33189,32301,888,0500000US17137,Morgan County,17|137,Illinois
70,14634,14397,237,0500000US17139,Moultrie County,17|139,Illinois
71,51787,46297,5490,0500000US17141,Ogle County,17|141,Illinois
72,182439,173146,9293,0500000US17143,Peoria County,17|143,Illinois
73,21158,20469,689,0500000US17145,Perry County,17|145,Illinois
74,16664,16420,244,0500000US17147,Piatt County,17|147,Illinois
75,14923,14718,205,0500000US17149,Pike County,17|149,Illinois
76,3820,3729,91,0500000US17151,Pope County,17|151,Illinois
77,5279,5147,132,0500000US17153,Pulaski County,17|153,Illinois
78,5638,5300,338,0500000US17155,Putnam County,17|155,Illinois
79,30632,29601,1031,0500000US17157,Randolph County,17|157,Illinois
80,15876,15598,278,0500000US17159,Richland County,17|159,Illinois
81,144694,125448,19246,0500000US17161,Rock Island County,17|161,Illinois
82,258597,247349,11248,0500000US17163,"St, Clair County",17|163,Illinois
83,23869,23448,421,0500000US17165,Saline County,17|165,Illinois
84,196759,191980,4779,0500000US17167,Sangamon County,17|167,Illinois
85,6953,6879,74,0500000US17169,Schuyler County,17|169,Illinois
86,4923,4903,20,0500000US17171,Scott County,17|171,Illinois
87,21160,20918,242,0500000US17173,Shelby County,17|173,Illinois
88,5436,5320,116,0500000US17175,Stark County,17|175,Illinois
89,44817,42868,1949,0500000US17177,Stephenson County,17|177,Illinois
90,131977,128719,3258,0500000US17179,Tazewell County,17|179,Illinois
91,17259,16328,931,0500000US17181,Union County,17|181,Illinois
92,74953,70985,3968,0500000US17183,Vermilion County,17|183,Illinois
93,11414,11155,259,0500000US17185,Wabash County,17|185,Illinois
94,16887,15201,1686,0500000US17187,Warren County,17|187,Illinois
95,13827,13622,205,0500000US17189,Washington County,17|189,Illinois
96,16250,15987,263,0500000US17191,Wayne County,17|191,Illinois
97,13959,13739,220,0500000US17193,White County,17|193,Illinois
98,55932,48968,6964,0500000US17195,Whiteside County,17|195,Illinois
99,696403,570101,126302,0500000US17197,Will County,17|197,Illinois
100,67271,65413,1858,0500000US17199,Williamson County,17|199,Illinois
101,285471,246844,38627,0500000US17201,Winnebago County,17|201,Illinois
102,38571,37840,731,0500000US17203,Woodford County,17|203,Illinois
